SL,Desc,UH
pre[6] a1d,*present-indicative class6 active first-person dual,{kartari;law;u;dvi;parasmEpadI;tudAdi;#;}
pre[6] a1p,*present-indicative class6 active first-person plural,{kartari;law;u;bahu;parasmEpadI;tudAdi;#;}
pre[6] a2s,*present-indicative class6 active second-person singular,{kartari;law;ma;eka;parasmEpadI;tudAdi;#;}
pre[6] a2d,*present-indicative class6 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;tudAdi;#;}
pre[6] a2p,*present-indicative class6 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;tudAdi;#;}
pre[6] a3s,*present-indicative class6 active third-person singular,{kartari;law;pra;eka;parasmEpadI;tudAdi;#;}
pre[6] a3d,*present-indicative class6 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;tudAdi;#;}
pre[6] a3p,*present-indicative class6 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;tudAdi;#;}
pre[6] m1s,*present-indicative class6 middle first-person singular,{kartari;law;u;eka;AtmanepadI;tudAdi;#;}
pre[6] m1d,*present-indicative class6 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;tudAdi;#;}
pre[6] m1p,*present-indicative class6 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;tudAdi;#;}
pre[6] m2s,*present-indicative class6 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;tudAdi;#;}
pre[6] m2d,*present-indicative class6 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;tudAdi;#;}
pre[6] m2p,*present-indicative class6 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;tudAdi;#;}
pre[6] m3s,*present-indicative class6 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;tudAdi;#;}
pre[6] m3d,*present-indicative class6 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;tudAdi;#;}
pre[6] m3p,*present-indicative class6 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;tudAdi;#;}
pre[7] a1s,*present-indicative class7 active first-person singular,{kartari;law;u;eka;parasmEpadI;ruDAdi;#;}
pre[7] a1d,*present-indicative class7 active first-person dual,{kartari;law;u;dvi;parasmEpadI;ruDAdi;#;}
pre[7] a1p,*present-indicative class7 active first-person plural,{kartari;law;u;bahu;parasmEpadI;ruDAdi;#;}
pre[7] a2s,*present-indicative class7 active second-person singular,{kartari;law;ma;eka;parasmEpadI;ruDAdi;#;}
pre[7] a2d,*present-indicative class7 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;ruDAdi;#;}
pre[7] a2p,*present-indicative class7 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;ruDAdi;#;}
pre[7] a3s,*present-indicative class7 active third-person singular,{kartari;law;pra;eka;parasmEpadI;ruDAdi;#;}
pre[7] a3d,*present-indicative class7 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;ruDAdi;#;}
pre[7] a3p,*present-indicative class7 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;ruDAdi;#;}
pre[7] m1s,*present-indicative class7 middle first-person singular,{kartari;law;u;eka;AtmanepadI;ruDAdi;#;}
pre[7] m1d,*present-indicative class7 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;ruDAdi;#;}
pre[7] m1p,*present-indicative class7 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;ruDAdi;#;}
pre[7] m2s,*present-indicative class7 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;ruDAdi;#;}
pre[7] m2d,*present-indicative class7 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;ruDAdi;#;}
pre[7] m2p,*present-indicative class7 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;ruDAdi;#;}
pre[7] m3s,*present-indicative class7 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;ruDAdi;#;}
pre[7] m3d,*present-indicative class7 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;ruDAdi;#;}
