SL,Desc,UH
aij[iz] p1p,*aorist-injunctive iz-aorist passive first-person plural,{karmaRi;luN;u;bahu;AtmanepadI;sew-sic;#;}
aij[iz] p2s,*aorist-injunctive iz-aorist passive second-person singular,{karmaRi;luN;ma;eka;AtmanepadI;sew-sic;#;}
aij[iz] p2d,*aorist-injunctive iz-aorist passive second-person dual,{karmaRi;luN;ma;dvi;AtmanepadI;sew-sic;#;}
aij[iz] p2p,*aorist-injunctive iz-aorist passive second-person plural,{karmaRi;luN;ma;bahu;AtmanepadI;sew-sic;#;}
aij[iz] p3s,*aorist-injunctive iz-aorist passive third-person singular,{karmaRi;luN;pra;eka;AtmanepadI;sew-sic;#;}
aij[iz] p3d,*aorist-injunctive iz-aorist passive third-person dual,{karmaRi;luN;pra;dvi;AtmanepadI;sew-sic;#;}
aij[iz] p3p,*aorist-injunctive iz-aorist passive third-person plural,{karmaRi;luN;pra;bahu;AtmanepadI;sew-sic;#;}
aij[siz] a1s,*aorist-injunctive siz-aorist active first-person singular,{kartari;luN;u;eka;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a1d,*aorist-injunctive siz-aorist active first-person dual,{kartari;luN;u;dvi;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a1p,*aorist-injunctive siz-aorist active first-person plural,{kartari;luN;u;bahu;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a2s,*aorist-injunctive siz-aorist active second-person singular,{kartari;luN;ma;eka;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a2d,*aorist-injunctive siz-aorist active second-person dual,{kartari;luN;ma;dvi;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a2p,*aorist-injunctive siz-aorist active second-person plural,{kartari;luN;ma;bahu;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a3s,*aorist-injunctive siz-aorist active third-person singular,{kartari;luN;pra;eka;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a3d,*aorist-injunctive siz-aorist active third-person dual,{kartari;luN;pra;dvi;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] a3p,*aorist-injunctive siz-aorist active third-person plural,{kartari;luN;pra;bahu;parasmEpadI;sew-sic (As-anta DAtu);#;}
aij[siz] m1s,*aorist-injunctive siz-aorist middle first-person singular,{kartari;luN;u;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m1d,*aorist-injunctive siz-aorist middle first-person dual,{kartari;luN;u;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m1p,*aorist-injunctive siz-aorist middle first-person plural,{kartari;luN;u;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m2s,*aorist-injunctive siz-aorist middle second-person singular,{kartari;luN;ma;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m2d,*aorist-injunctive siz-aorist middle second-person dual,{kartari;luN;ma;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m2p,*aorist-injunctive siz-aorist middle second-person plural,{kartari;luN;ma;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m3s,*aorist-injunctive siz-aorist middle third-person singular,{kartari;luN;pra;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m3d,*aorist-injunctive siz-aorist middle third-person dual,{kartari;luN;pra;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] m3p,*aorist-injunctive siz-aorist middle third-person plural,{kartari;luN;pra;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p1s,*aorist-injunctive siz-aorist passive first-person singular,{karmaRi;luN;u;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p1d,*aorist-injunctive siz-aorist passive first-person dual,{karmaRi;luN;u;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p1p,*aorist-injunctive siz-aorist passive first-person plural,{karmaRi;luN;u;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p2s,*aorist-injunctive siz-aorist passive second-person singular,{karmaRi;luN;ma;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p2d,*aorist-injunctive siz-aorist passive second-person dual,{karmaRi;luN;ma;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p2p,*aorist-injunctive siz-aorist passive second-person plural,{karmaRi;luN;ma;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p3s,*aorist-injunctive siz-aorist passive third-person singular,{karmaRi;luN;pra;eka;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p3d,*aorist-injunctive siz-aorist passive third-person dual,{karmaRi;luN;pra;dvi;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[siz] p3p,*aorist-injunctive siz-aorist passive third-person plural,{karmaRi;luN;pra;bahu;AtmanepadI;sew-sic (As-anta DAtu);#;}
aij[sa] a1s,*aorist-injunctive sa-aorist active first-person singular,{kartari;luN;u;eka;parasmEpadI;ksa;#;}
aij[sa] a1d,*aorist-injunctive sa-aorist active first-person dual,{kartari;luN;u;dvi;parasmEpadI;ksa;#;}
aij[sa] a1p,*aorist-injunctive sa-aorist active first-person plural,{kartari;luN;u;bahu;parasmEpadI;ksa;#;}
aij[sa] a2s,*aorist-injunctive sa-aorist active second-person singular,{kartari;luN;ma;eka;parasmEpadI;ksa;#;}
aij[sa] a2d,*aorist-injunctive sa-aorist active second-person dual,{kartari;luN;ma;dvi;parasmEpadI;ksa;#;}
aij[sa] a2p,*aorist-injunctive sa-aorist active second-person plural,{kartari;luN;ma;bahu;parasmEpadI;ksa;#;}
aij[sa] a3s,*aorist-injunctive sa-aorist active third-person singular,{kartari;luN;pra;eka;parasmEpadI;ksa;#;}
aij[sa] a3d,*aorist-injunctive sa-aorist active third-person dual,{kartari;luN;pra;dvi;parasmEpadI;ksa;#;}
aij[sa] a3p,*aorist-injunctive sa-aorist active third-person plural,{kartari;luN;pra;bahu;parasmEpadI;ksa;#;}
aij[sa] m1s,*aorist-injunctive sa-aorist middle first-person singular,{kartari;luN;u;eka;AtmanepadI;ksa;#;}
aij[sa] m1d,*aorist-injunctive sa-aorist middle first-person dual,{kartari;luN;u;dvi;AtmanepadI;ksa;#;}
aij[sa] m1p,*aorist-injunctive sa-aorist middle first-person plural,{kartari;luN;u;bahu;AtmanepadI;ksa;#;}
aij[sa] m2s,*aorist-injunctive sa-aorist middle second-person singular,{kartari;luN;ma;eka;AtmanepadI;ksa;#;}
aij[sa] m2d,*aorist-injunctive sa-aorist middle second-person dual,{kartari;luN;ma;dvi;AtmanepadI;ksa;#;}
aij[sa] m2p,*aorist-injunctive sa-aorist middle second-person plural,{kartari;luN;ma;bahu;AtmanepadI;ksa;#;}
aij[sa] m3s,*aorist-injunctive sa-aorist middle third-person singular,{kartari;luN;pra;eka;AtmanepadI;ksa;#;}
aij[sa] m3d,*aorist-injunctive sa-aorist middle third-person dual,{kartari;luN;pra;dvi;AtmanepadI;ksa;#;}
aij[sa] m3p,*aorist-injunctive sa-aorist middle third-person plural,{kartari;luN;pra;bahu;AtmanepadI;ksa;#;}
aij[sa] p1s,*aorist-injunctive sa-aorist passive first-person singular,{karmaRi;luN;u;eka;AtmanepadI;ksa;#;}
aij[sa] p1d,*aorist-injunctive sa-aorist passive first-person dual,{karmaRi;luN;u;dvi;AtmanepadI;ksa;#;}
aij[sa] p1p,*aorist-injunctive sa-aorist passive first-person plural,{karmaRi;luN;u;bahu;AtmanepadI;ksa;#;}
aij[sa] p2s,*aorist-injunctive sa-aorist passive second-person singular,{karmaRi;luN;ma;eka;AtmanepadI;ksa;#;}
aij[sa] p2d,*aorist-injunctive sa-aorist passive second-person dual,{karmaRi;luN;ma;dvi;AtmanepadI;ksa;#;}
aij[sa] p2p,*aorist-injunctive sa-aorist passive second-person plural,{karmaRi;luN;ma;bahu;AtmanepadI;ksa;#;}
aij[sa] p3s,*aorist-injunctive sa-aorist passive third-person singular,{karmaRi;luN;pra;eka;AtmanepadI;ksa;#;}
aij[sa] p3d,*aorist-injunctive sa-aorist passive third-person dual,{karmaRi;luN;pra;dvi;AtmanepadI;ksa;#;}
aij[sa] p3p,*aorist-injunctive sa-aorist passive third-person plural,{karmaRi;luN;pra;bahu;AtmanepadI;ksa;#;}
aij[a] a1s,*aorist-injunctive a-aorist active first-person singular,{kartari;luN;u;eka;parasmEpadI;aN;#;}
aij[a] a1d,*aorist-injunctive a-aorist active first-person dual,{kartari;luN;u;dvi;parasmEpadI;aN;#;}
aij[a] a1p,*aorist-injunctive a-aorist active first-person plural,{kartari;luN;u;bahu;parasmEpadI;aN;#;}
aij[a] a2s,*aorist-injunctive a-aorist active second-person singular,{kartari;luN;ma;eka;parasmEpadI;aN;#;}
aij[a] a2d,*aorist-injunctive a-aorist active second-person dual,{kartari;luN;ma;dvi;parasmEpadI;aN;#;}
aij[a] a2p,*aorist-injunctive a-aorist active second-person plural,{kartari;luN;ma;bahu;parasmEpadI;aN;#;}
aij[a] a3s,*aorist-injunctive a-aorist active third-person singular,{kartari;luN;pra;eka;parasmEpadI;aN;#;}
aij[a] a3d,*aorist-injunctive a-aorist active third-person dual,{kartari;luN;pra;dvi;parasmEpadI;aN;#;}
aij[a] a3p,*aorist-injunctive a-aorist active third-person plural,{kartari;luN;pra;bahu;parasmEpadI;aN;#;}
aij[a] m1s,*aorist-injunctive a-aorist middle first-person singular,{kartari;luN;u;eka;AtmanepadI;aN;#;}
aij[a] m1d,*aorist-injunctive a-aorist middle first-person dual,{kartari;luN;u;dvi;AtmanepadI;aN;#;}
aij[a] m1p,*aorist-injunctive a-aorist middle first-person plural,{kartari;luN;u;bahu;AtmanepadI;aN;#;}
aij[a] m2s,*aorist-injunctive a-aorist middle second-person singular,{kartari;luN;ma;eka;AtmanepadI;aN;#;}
aij[a] m2d,*aorist-injunctive a-aorist middle second-person dual,{kartari;luN;ma;dvi;AtmanepadI;aN;#;}
aij[a] m2p,*aorist-injunctive a-aorist middle second-person plural,{kartari;luN;ma;bahu;AtmanepadI;aN;#;}
aij[a] m3s,*aorist-injunctive a-aorist middle third-person singular,{kartari;luN;pra;eka;AtmanepadI;aN;#;}
aij[a] m3d,*aorist-injunctive a-aorist middle third-person dual,{kartari;luN;pra;dvi;AtmanepadI;aN;#;}
aij[a] m3p,*aorist-injunctive a-aorist middle third-person plural,{kartari;luN;pra;bahu;AtmanepadI;aN;#;}
aij[a] p1s,*aorist-injunctive a-aorist passive first-person singular,{karmaRi;luN;u;eka;AtmanepadI;aN;#;}
aij[a] p1d,*aorist-injunctive a-aorist passive first-person dual,{karmaRi;luN;u;dvi;AtmanepadI;aN;#;}
aij[a] p1p,*aorist-injunctive a-aorist passive first-person plural,{karmaRi;luN;u;bahu;AtmanepadI;aN;#;}
aij[a] p2s,*aorist-injunctive a-aorist passive second-person singular,{karmaRi;luN;ma;eka;AtmanepadI;aN;#;}
aij[a] p2d,*aorist-injunctive a-aorist passive second-person dual,{karmaRi;luN;ma;dvi;AtmanepadI;aN;#;}
aij[a] p2p,*aorist-injunctive a-aorist passive second-person plural,{karmaRi;luN;ma;bahu;AtmanepadI;aN;#;}
aij[a] p3s,*aorist-injunctive a-aorist passive third-person singular,{karmaRi;luN;pra;eka;AtmanepadI;aN;#;}
aij[a] p3d,*aorist-injunctive a-aorist passive third-person dual,{karmaRi;luN;pra;dvi;AtmanepadI;aN;#;}
aij[a] p3p,*aorist-injunctive a-aorist passive third-person plural,{karmaRi;luN;pra;bahu;AtmanepadI;aN;#;}
aij[redup] a1s,*aorist-injunctive reduplicated-aorist active first-person singular,{kartari;luN;u;eka;parasmEpadI;caN;#;}
aij[redup] a1d,*aorist-injunctive reduplicated-aorist active first-person dual,{kartari;luN;u;dvi;parasmEpadI;caN;#;}
aij[redup] a1p,*aorist-injunctive reduplicated-aorist active first-person plural,{kartari;luN;u;bahu;parasmEpadI;caN;#;}
aij[redup] a2s,*aorist-injunctive reduplicated-aorist active second-person singular,{kartari;luN;ma;eka;parasmEpadI;caN;#;}
aij[redup] a2d,*aorist-injunctive reduplicated-aorist active second-person dual,{kartari;luN;ma;dvi;parasmEpadI;caN;#;}
aij[redup] a2p,*aorist-injunctive reduplicated-aorist active second-person plural,{kartari;luN;ma;bahu;parasmEpadI;caN;#;}
aij[redup] a3s,*aorist-injunctive reduplicated-aorist active third-person singular,{kartari;luN;pra;eka;parasmEpadI;caN;#;}
aij[redup] a3d,*aorist-injunctive reduplicated-aorist active third-person dual,{kartari;luN;pra;dvi;parasmEpadI;caN;#;}
aij[redup] a3p,*aorist-injunctive reduplicated-aorist active third-person plural,{kartari;luN;pra;bahu;parasmEpadI;caN;#;}
aij[redup] m1s,*aorist-injunctive reduplicated-aorist middle first-person singular,{kartari;luN;u;eka;AtmanepadI;caN;#;}
aij[redup] m1d,*aorist-injunctive reduplicated-aorist middle first-person dual,{kartari;luN;u;dvi;AtmanepadI;caN;#;}
aij[redup] m1p,*aorist-injunctive reduplicated-aorist middle first-person plural,{kartari;luN;u;bahu;AtmanepadI;caN;#;}
aij[redup] m2s,*aorist-injunctive reduplicated-aorist middle second-person singular,{kartari;luN;ma;eka;AtmanepadI;caN;#;}
aij[redup] m2d,*aorist-injunctive reduplicated-aorist middle second-person dual,{kartari;luN;ma;dvi;AtmanepadI;caN;#;}
aij[redup] m2p,*aorist-injunctive reduplicated-aorist middle second-person plural,{kartari;luN;ma;bahu;AtmanepadI;caN;#;}
aij[redup] m3s,*aorist-injunctive reduplicated-aorist middle third-person singular,{kartari;luN;pra;eka;AtmanepadI;caN;#;}
aij[redup] m3d,*aorist-injunctive reduplicated-aorist middle third-person dual,{kartari;luN;pra;dvi;AtmanepadI;caN;#;}
aij[redup] m3p,*aorist-injunctive reduplicated-aorist middle third-person plural,{kartari;luN;pra;bahu;AtmanepadI;caN;#;}
aij[redup] p1s,*aorist-injunctive reduplicated-aorist passive first-person singular,{karmaRi;luN;u;eka;AtmanepadI;caN;#;}
aij[redup] p1d,*aorist-injunctive reduplicated-aorist passive first-person dual,{karmaRi;luN;u;dvi;AtmanepadI;caN;#;}
aij[redup] p1p,*aorist-injunctive reduplicated-aorist passive first-person plural,{karmaRi;luN;u;bahu;AtmanepadI;caN;#;}
aij[redup] p2s,*aorist-injunctive reduplicated-aorist passive second-person singular,{karmaRi;luN;ma;eka;AtmanepadI;caN;#;}
aij[redup] p2d,*aorist-injunctive reduplicated-aorist passive second-person dual,{karmaRi;luN;ma;dvi;AtmanepadI;caN;#;}
aij[redup] p2p,*aorist-injunctive reduplicated-aorist passive second-person plural,{karmaRi;luN;ma;bahu;AtmanepadI;caN;#;}
aij[redup] p3s,*aorist-injunctive reduplicated-aorist passive third-person singular,{karmaRi;luN;pra;eka;AtmanepadI;caN;#;}
aij[redup] p3d,*aorist-injunctive reduplicated-aorist passive third-person dual,{karmaRi;luN;pra;dvi;AtmanepadI;caN;#;}
aij[redup] p3p,*aorist-injunctive reduplicated-aorist passive third-person plural,{karmaRi;luN;pra;bahu;AtmanepadI;caN;#;}
pft a1s,*periphrastic-future active first-person singular,{kartari;luw;u;eka;parasmEpadI;;#;}
pft a1d,*periphrastic-future active first-person dual,{kartari;luw;u;dvi;parasmEpadI;;#;}
pft a1p,*periphrastic-future active first-person plural,{kartari;luw;u;bahu;parasmEpadI;;#;}
pft a2s,*periphrastic-future active second-person singular,{kartari;luw;ma;eka;parasmEpadI;;#;}
pft a2d,*periphrastic-future active second-person dual,{kartari;luw;ma;dvi;parasmEpadI;;#;}
pft a2p,*periphrastic-future active second-person plural,{kartari;luw;ma;bahu;parasmEpadI;;#;}
pft a3s,*periphrastic-future active third-person singular,{kartari;luw;pra;eka;parasmEpadI;;#;}
pft a3d,*periphrastic-future active third-person dual,{kartari;luw;pra;dvi;parasmEpadI;;#;}
pft a3p,*periphrastic-future active third-person plural,{kartari;luw;pra;bahu;parasmEpadI;;#;}
pft m1s,*periphrastic-future middle first-person singular,{kartari;luw;u;eka;AtmanepadI;;#;}
pft m1d,*periphrastic-future middle first-person dual,{kartari;luw;u;dvi;AtmanepadI;;#;}
pft m1p,*periphrastic-future middle first-person plural,{kartari;luw;u;bahu;AtmanepadI;;#;}
pft m2s,*periphrastic-future middle second-person singular,{kartari;luw;ma;eka;AtmanepadI;;#;}
pft m2d,*periphrastic-future middle second-person dual,{kartari;luw;ma;dvi;AtmanepadI;;#;}
pft m2p,*periphrastic-future middle second-person plural,{kartari;luw;ma;bahu;AtmanepadI;;#;}
pft m3s,*periphrastic-future middle third-person singular,{kartari;luw;pra;eka;AtmanepadI;;#;}
pft m3d,*periphrastic-future middle third-person dual,{kartari;luw;pra;dvi;AtmanepadI;;#;}
pft m3p,*periphrastic-future middle third-person plural,{kartari;luw;pra;bahu;AtmanepadI;;#;}
pft p1s,*periphrastic-future passive first-person singular,{karmaRi;luw;u;eka;AtmanepadI;;#;}
pft p1d,*periphrastic-future passive first-person dual,{karmaRi;luw;u;dvi;AtmanepadI;;#;}
pft p1p,*periphrastic-future passive first-person plural,{karmaRi;luw;u;bahu;AtmanepadI;;#;}
pft p2s,*periphrastic-future passive second-person singular,{karmaRi;luw;ma;eka;AtmanepadI;;#;}
pft p2d,*periphrastic-future passive second-person dual,{karmaRi;luw;ma;dvi;AtmanepadI;;#;}
pft p2p,*periphrastic-future passive second-person plural,{karmaRi;luw;ma;bahu;AtmanepadI;;#;}
pft p3s,*periphrastic-future passive third-person singular,{karmaRi;luw;pra;eka;AtmanepadI;;#;}
pft p3d,*periphrastic-future passive third-person dual,{karmaRi;luw;pra;dvi;AtmanepadI;;#;}
pft p3p,*periphrastic-future passive third-person plural,{karmaRi;luw;pra;bahu;AtmanepadI;;#;}
cau pre a1s,causative present-indicative active first-person singular,{kartari;law;u;eka;parasmEpadI;;#;Ric}
cau pre a1d,causative present-indicative active first-person dual,{kartari;law;u;dvi;parasmEpadI;;#;Ric}
cau pre a1p,causative present-indicative active first-person plural,{kartari;law;u;bahu;parasmEpadI;;#;Ric}
cau pre a2s,causative present-indicative active second-person singular,{kartari;law;ma;eka;parasmEpadI;;#;Ric}
cau pre a2d,causative present-indicative active second-person dual,{kartari;law;ma;dvi;parasmEpadI;;#;Ric}
cau pre a2p,causative present-indicative active second-person plural,{kartari;law;ma;bahu;parasmEpadI;;#;Ric}
cau pre a3s,causative present-indicative active third-person singular,{kartari;law;pra;eka;parasmEpadI;;#;Ric}
cau pre a3d,causative present-indicative active third-person dual,{kartari;law;pra;dvi;parasmEpadI;;#;Ric}
cau pre a3p,causative present-indicative active third-person plural,{kartari;law;pra;bahu;parasmEpadI;;#;Ric}
cau pre m1s,causative present-indicative middle first-person singular,{kartari;law;u;eka;AtmanepadI;;#;Ric}
cau pre m1d,causative present-indicative middle first-person dual,{kartari;law;u;dvi;AtmanepadI;;#;Ric}
cau pre m1p,causative present-indicative middle first-person plural,{kartari;law;u;bahu;AtmanepadI;;#;Ric}
cau pre m2s,causative present-indicative middle second-person singular,{kartari;law;ma;eka;AtmanepadI;;#;Ric}
cau pre m2d,causative present-indicative middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;;#;Ric}
cau pre m2p,causative present-indicative middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;;#;Ric}
cau pre m3s,causative present-indicative middle third-person singular,{kartari;law;pra;eka;AtmanepadI;;#;Ric}
cau pre m3d,causative present-indicative middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;;#;Ric}
cau pre m3p,causative present-indicative middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;;#;Ric}
cau pre p1s,causative present-indicative passive first-person singular,{karmaRi;law;u;eka;AtmanepadI;;#;Ric}
cau pre p1d,causative present-indicative passive first-person dual,{karmaRi;law;u;dvi;AtmanepadI;;#;Ric}
cau pre p1p,causative present-indicative passive first-person plural,{karmaRi;law;u;bahu;AtmanepadI;;#;Ric}
cau pre p2s,causative present-indicative passive second-person singular,{karmaRi;law;ma;eka;AtmanepadI;;#;Ric}
cau pre p2d,causative present-indicative passive second-person dual,{karmaRi;law;ma;dvi;AtmanepadI;;#;Ric}
cau pre p2p,causative present-indicative passive second-person plural,{karmaRi;law;ma;bahu;AtmanepadI;;#;Ric}
cau pre p3s,causative present-indicative passive third-person singular,{karmaRi;law;pra;eka;AtmanepadI;;#;Ric}
cau pre p3d,causative present-indicative passive third-person dual,{karmaRi;law;pra;dvi;AtmanepadI;;#;Ric}
cau pre p3p,causative present-indicative passive third-person plural,{karmaRi;law;pra;bahu;AtmanepadI;;#;Ric}
cau ipf a1s,causative imperfect-indicative active first-person singular,{kartari;laN;u;eka;parasmEpadI;;#;Ric}
cau ipf a1d,causative imperfect-indicative active first-person dual,{kartari;laN;u;dvi;parasmEpadI;;#;Ric}
cau ipf a1p,causative imperfect-indicative active first-person plural,{kartari;laN;u;bahu;parasmEpadI;;#;Ric}
cau ipf a2s,causative imperfect-indicative active second-person singular,{kartari;laN;ma;eka;parasmEpadI;;#;Ric}
cau ipf a2d,causative imperfect-indicative active second-person dual,{kartari;laN;ma;dvi;parasmEpadI;;#;Ric}
cau ipf a2p,causative imperfect-indicative active second-person plural,{kartari;laN;ma;bahu;parasmEpadI;;#;Ric}
cau ipf a3s,causative imperfect-indicative active third-person singular,{kartari;laN;pra;eka;parasmEpadI;;#;Ric}
cau ipf a3d,causative imperfect-indicative active third-person dual,{kartari;laN;pra;dvi;parasmEpadI;;#;Ric}
cau ipf a3p,causative imperfect-indicative active third-person plural,{kartari;laN;pra;bahu;parasmEpadI;;#;Ric}
cau ipf m1s,causative imperfect-indicative middle first-person singular,{kartari;laN;u;eka;AtmanepadI;;#;Ric}
cau ipf m1d,causative imperfect-indicative middle first-person dual,{kartari;laN;u;dvi;AtmanepadI;;#;Ric}
cau ipf m1p,causative imperfect-indicative middle first-person plural,{kartari;laN;u;bahu;AtmanepadI;;#;Ric}
cau ipf m2s,causative imperfect-indicative middle second-person singular,{kartari;laN;ma;eka;AtmanepadI;;#;Ric}
cau ipf m2d,causative imperfect-indicative middle second-person dual,{kartari;laN;ma;dvi;AtmanepadI;;#;Ric}
cau ipf m2p,causative imperfect-indicative middle second-person plural,{kartari;laN;ma;bahu;AtmanepadI;;#;Ric}
cau ipf m3s,causative imperfect-indicative middle third-person singular,{kartari;laN;pra;eka;AtmanepadI;;#;Ric}
cau ipf m3d,causative imperfect-indicative middle third-person dual,{kartari;laN;pra;dvi;AtmanepadI;;#;Ric}
cau ipf m3p,causative imperfect-indicative middle third-person plural,{kartari;laN;pra;bahu;AtmanepadI;;#;Ric}
cau ipf p1s,causative imperfect-indicative passive first-person singular,{karmaRi;laN;u;eka;AtmanepadI;;#;Ric}
cau ipf p1d,causative imperfect-indicative passive first-person dual,{karmaRi;laN;u;dvi;AtmanepadI;;#;Ric}
cau ipf p1p,causative imperfect-indicative passive first-person plural,{karmaRi;laN;u;bahu;AtmanepadI;;#;Ric}
cau ipf p2s,causative imperfect-indicative passive second-person singular,{karmaRi;laN;ma;eka;AtmanepadI;;#;Ric}
cau ipf p2d,causative imperfect-indicative passive second-person dual,{karmaRi;laN;ma;dvi;AtmanepadI;;#;Ric}
cau ipf p2p,causative imperfect-indicative passive second-person plural,{karmaRi;laN;ma;bahu;AtmanepadI;;#;Ric}
cau ipf p3s,causative imperfect-indicative passive third-person singular,{karmaRi;laN;pra;eka;AtmanepadI;;#;Ric}
cau ipf p3d,causative imperfect-indicative passive third-person dual,{karmaRi;laN;pra;dvi;AtmanepadI;;#;Ric}
cau ipf p3p,causative imperfect-indicative passive third-person plural,{karmaRi;laN;pra;bahu;AtmanepadI;;#;Ric}
cau ipv a1s,causative present-imperative active first-person singular,{kartari;luw;u;eka;parasmEpadI;;#;Ric}
cau ipv a1d,causative present-imperative active first-person dual,{kartari;luw;u;dvi;parasmEpadI;;#;Ric}
cau ipv a1p,causative present-imperative active first-person plural,{kartari;luw;u;bahu;parasmEpadI;;#;Ric}
cau ipv a2s,causative present-imperative active second-person singular,{kartari;luw;ma;eka;parasmEpadI;;#;Ric}
cau ipv a2d,causative present-imperative active second-person dual,{kartari;luw;ma;dvi;parasmEpadI;;#;Ric}
cau ipv a2p,causative present-imperative active second-person plural,{kartari;luw;ma;bahu;parasmEpadI;;#;Ric}
cau ipv a3s,causative present-imperative active third-person singular,{kartari;luw;pra;eka;parasmEpadI;;#;Ric}
cau ipv a3d,causative present-imperative active third-person dual,{kartari;luw;pra;dvi;parasmEpadI;;#;Ric}
cau ipv a3p,causative present-imperative active third-person plural,{kartari;luw;pra;bahu;parasmEpadI;;#;Ric}
cau ipv m1s,causative present-imperative middle first-person singular,{kartari;luw;u;eka;AtmanepadI;;#;Ric}
cau ipv m1d,causative present-imperative middle first-person dual,{kartari;luw;u;dvi;AtmanepadI;;#;Ric}
cau ipv m1p,causative present-imperative middle first-person plural,{kartari;luw;u;bahu;AtmanepadI;;#;Ric}
cau ipv m2s,causative present-imperative middle second-person singular,{kartari;luw;ma;eka;AtmanepadI;;#;Ric}
cau ipv m2d,causative present-imperative middle second-person dual,{kartari;luw;ma;dvi;AtmanepadI;;#;Ric}
cau ipv m2p,causative present-imperative middle second-person plural,{kartari;luw;ma;bahu;AtmanepadI;;#;Ric}
cau ipv m3s,causative present-imperative middle third-person singular,{kartari;luw;pra;eka;AtmanepadI;;#;Ric}
cau ipv m3d,causative present-imperative middle third-person dual,{kartari;luw;pra;dvi;AtmanepadI;;#;Ric}
cau ipv m3p,causative present-imperative middle third-person plural,{kartari;luw;pra;bahu;AtmanepadI;;#;Ric}
cau ipv p1s,causative present-imperative passive first-person singular,{karmaRi;luw;u;eka;AtmanepadI;;#;Ric}
cau ipv p1d,causative present-imperative passive first-person dual,{karmaRi;luw;u;dvi;AtmanepadI;;#;Ric}
cau ipv p1p,causative present-imperative passive first-person plural,{karmaRi;luw;u;bahu;AtmanepadI;;#;Ric}
cau ipv p2s,causative present-imperative passive second-person singular,{karmaRi;luw;ma;eka;AtmanepadI;;#;Ric}
cau ipv p2d,causative present-imperative passive second-person dual,{karmaRi;luw;ma;dvi;AtmanepadI;;#;Ric}
cau ipv p2p,causative present-imperative passive second-person plural,{karmaRi;luw;ma;bahu;AtmanepadI;;#;Ric}
cau ipv p3s,causative present-imperative passive third-person singular,{karmaRi;luw;pra;eka;AtmanepadI;;#;Ric}
cau ipv p3d,causative present-imperative passive third-person dual,{karmaRi;luw;pra;dvi;AtmanepadI;;#;Ric}
cau ipv p3p,causative present-imperative passive third-person plural,{karmaRi;luw;pra;bahu;AtmanepadI;;#;Ric}
cau pop a1s,causative present-optative active first-person singular,{kartari;viDiliN;u;eka;parasmEpadI;;#;Ric}
cau pop a1d,causative present-optative active first-person dual,{kartari;viDiliN;u;dvi;parasmEpadI;;#;Ric}
cau pop a1p,causative present-optative active first-person plural,{kartari;viDiliN;u;bahu;parasmEpadI;;#;Ric}
cau pop a2s,causative present-optative active second-person singular,{kartari;viDiliN;ma;eka;parasmEpadI;;#;Ric}
cau pop a2d,causative present-optative active second-person dual,{kartari;viDiliN;ma;dvi;parasmEpadI;;#;Ric}
cau pop a2p,causative present-optative active second-person plural,{kartari;viDiliN;ma;bahu;parasmEpadI;;#;Ric}
cau pop a3s,causative present-optative active third-person singular,{kartari;viDiliN;pra;eka;parasmEpadI;;#;Ric}
cau pop a3d,causative present-optative active third-person dual,{kartari;viDiliN;pra;dvi;parasmEpadI;;#;Ric}
cau pop a3p,causative present-optative active third-person plural,{kartari;viDiliN;pra;bahu;parasmEpadI;;#;Ric}
cau pop m1s,causative present-optative middle first-person singular,{kartari;viDiliN;u;eka;AtmanepadI;;#;Ric}
